comune	series	from	to	holding	listed	status	note
Scilla, Reggio Calabria	Stato civile napoleonico	1809	1815	466 registers in three fondi	327	open	SCILLA'S REGISTERS BEGIN IN 1809, not 1816 -- a fact this archive got wrong for eight days and built a WALL on. Seventeen napoleonic volumes. Filippo Arena and Domenica Costa married in the fifth of them.
Scilla, Reggio Calabria	Stato civile della restaurazione	1816	1865	180 volumes listed	180	open	The main run. Births, marriages, deaths and the MATRIMONI PROCESSETTI, twenty-two volumes 1810-1865 and none after.
Scilla, Reggio Calabria	Stato civile italiano	1866	1943	130 volumes listed	130	open	Deaths 1911-1943 are also NAME-INDEXED on Antenati, with father, mother and spouse -- one query replaces a volume sweep.
Piedimonte Etneo, Catania	Stato civile della restaurazione	1820	1865	223 registers	223	open	SICILY HAS NO NAPOLEONIC REGISTERS: the island stayed Bourbon and began only with the restoration, in 1820. Includes MATRIMONI PROCESSETTI 1841-1860, twenty volumes, never opened by this archive.
Piedimonte Etneo, Catania	Stato civile italiano	1866	1893	225 registers	225	open	AND IT STOPS AT 1893. The Mazza-Nicotra marriage of about 1900 and Venera Cassaneti's death in 1925 are not here and never were.
Piedimonte Etneo, Catania	Riveli di anime e di terre (Deputazione del Regno)	1714	1752	9 volumes	9	open	HOUSEHOLD TAX CENSUSES, a century before civil registration in Sicily -- which retires this archive's own rule that «before 1820 it is parish records or nothing». The 1747-1748 index is read: eighty households, no Mazza, two MAZZEO.
Piedimonte Etneo, Catania	Civil Registration (Tribunale), via FamilySearch	1866	1929	not counted	0	route	THE ROUTE PAST 1893. The Tribunale's duplicate for the province of Catania runs thirty-six years further than the Archivio di Stato's filming, and this archive already cites the collection elsewhere. Not yet used for Piedimonte.
Briatico, Vibo Valentia	Stato civile, all fondi	1810	1930	555 registers -- Catanzaro 440, Vibo Valentia 115	81	partial	THE WORST UNDER-LISTING IN THE ARCHIVE: eighty-one rows held against 555 available. A listing at s_size=500 returned 500 and showed NOTHING BETWEEN 1859 AND 1910 -- which would put Caterina Melluso's 1860 birth out of reach -- but fifty-five registers were not in the sample and that is not yet a finding.
Potenzoni (Briatico), Vibo Valentia	Stato civile	1806	—	57 registers of its own	0	open	A FRAZIONE THAT REGISTERED SEPARATELY. Three honest negatives for Briatico births were collected from the wrong parish before this was found. Before recording a surname as absent from a comune, search its hamlets by name.
Zambrone, Vibo Valentia	Stato civile napoleonico e restaurazione	1811	1844	11 volumes listed	11	gap	THE DEATH RUN IS MISSING 1813-1821 and it is not an inference: the volume runs 1811, then 1812 twice -- once for Zambrone and once for SAN GIOVANNI, a hamlet with its own register -- then jumps to 1822. Holdings resume only in 1911. Three people this archive wants died inside that gap. THE ROUTE IS THE COMUNE'S OWN SECOND COPY, which is a letter and not a search.
Pizzo, Vibo Valentia	Stato civile della restaurazione	1823	—	restaurazione only	0	gap	STARTS IN 1823 -- tested on 1812, 1814, 1818 and 1822, all empty. That one fact killed three planned searches at once. And the 1837 CHOLERA register survives only as an index of acts 209-325, bound into the ordinary volume; the acts themselves are not digitised.
Messina	Stato civile	1820	1865	366 volumes in 1820, rising to 510 by 1840	0	route	The province, not the city: MESSINA ITSELF appears in no Antenati year probed, though the series facet claims 1069 volumes. The 1908 earthquake is the obvious suspect and is NOT established. FamilySearch carries «Messina, Civil Registration (State Archive), 1820-1865» from a different filming -- try there before concluding a record is gone.
Mascali	Stato civile 1820-1893 + Riveli 1616-1752	1616	1893	498 (Catania 452, Palermo 46)	498	open	LISTED WHOLE AND VERIFIED: 498 results, 498 distinct arks, and the facets total 498 exactly, so this is the holding and not a sample at the s_size ceiling. Opened 21 September off the 1872 marriage act, which put Giovanni Nicotra resident here. THE 1844 YEAR IS ABSENT from every restaurazione series -- 1843 then 1845. The 46 Palermo volumes are RIVELI, not civil registration: Tribunale del Real Patrimonio 1616-1678 and Deputazione del Regno 1714 and 1747-1752.
Giarre	Stato civile 1820-1893	1820	1893	808 (all Catania)	808	open	THE SIXTH TOWN, opened 21 September off the words «nato a GIARRE» in Giovanni Nicotra's 1872 publication certificate. LISTED WHOLE AND VERIFIED, and it took TWO PAGE LOADS: s_size=500 returned 500 against a facet total of 808, and «&s_page=2» returned the remaining 308. 500 is a PAGE SIZE, not a ceiling. The largest comune in this archive -- 164 Nati, 147 Morti, 131 Matrimoni, 44 Matrimoni processetti -- and the ONLY ONE THAT HOLDS TWO COPIES OF EVERY YEAR, so a lost leaf in one may survive in the other. Unlike Mascali it has 1844.
