fondo	tipologia	years	ark	container	note
napoleonico	Morti, sepolture	1806	an_ua37932702		Potenzoni. The earliest Briatico-area register on Antenati.
napoleonico	Matrimoni	1809	an_ua92580		Civil registration in Calabria begins here, under the French.
napoleonico	Morti	1809	an_ua92587		
napoleonico	Nati	1809	an_ua92594		
napoleonico	Nati	1810	an_ua92595		
napoleonico	Nati	1811	an_ua92596		
napoleonico	Nati	1812	an_ua92597		
napoleonico	Nati	1813-1814	an_ua92598		
napoleonico	Nati	1815	an_ua92599		
restaurazione	Nati	1816-1855	an_ua87718 ff.		SEQUENTIAL: ark(Y) = an_ua87718 + (Y - 1816). Verified 1816-1829 and 1850-1855.
restaurazione	Nati	1820	an_ua87722	0noENQg	READ IN FULL. Twenty-seven births; Tavola at images 34-36.
restaurazione	Nati	1818	an_ua87720	LapzdlA	
restaurazione	Nati	1819	an_ua87721	5dZbjEP	
restaurazione	Nati	1821	an_ua87723	wjP9l1D	
restaurazione	Nati	1822	an_ua87724	0A4XEA7	
restaurazione	Nati	1856-1858	an_ua37922795		Three years in one volume.
restaurazione	Matrimoni	1840-1858	an_ua87654 ff.		SEQUENTIAL: ark(Y) = an_ua87654 + (Y - 1840).
restaurazione	Matrimoni	1850	an_ua87664	0JbOy1Q	READ. One marriage in the whole year.
restaurazione	Matrimoni	1851	an_ua87665	wjP9JgO	READ. Four marriages.
restaurazione	Matrimoni	1852	an_ua87666	LoYapVN	READ. Four marriages.
restaurazione	Matrimoni	1853	an_ua87667	5xePoWW	Ten or more; Tavola spans two openings.
restaurazione	Matrimoni	1854	an_ua87668	03PjeXd	READ. Three marriages.
italiano	Matrimoni	1911-1949	an_ua37842470 ff.		AND NOTHING BETWEEN 1859 AND 1910. Alfonso Prostamo's marriage of 21 May 1887 falls in that gap -- which is why FamilySearch, not Antenati, holds it.
—	Matrimoni, processetti	72 volumes	—		The spouses' own birth certificates, filed with the marriage. UNTOUCHED.
—	Nati, battesimi	86 volumes	—		UNTOUCHED.
—	Morti	91 volumes	—		UNTOUCHED.
