year	tipologia	fondo	segnatura	holder	ark	container
1820	Diversi	Stato civile della restaurazione	16111	Catania	an_ua68777	
1820	Matrimoni	Stato civile della restaurazione	16028	Catania	an_ua68848	
1820	Morti	Stato civile della restaurazione	16067	Catania	an_ua68890	
1820	Nati	Stato civile della restaurazione	15920	Catania	an_ua68978	03PBQXV
1820	Nati, esposti	Stato civile della restaurazione	15967	Catania	an_ua68936	
1821	Matrimoni	Stato civile della restaurazione	16029	Catania	an_ua68849	
1821	Matrimoni	Stato civile della restaurazione	16407	Catania	an_ua19993140	
1821	Morti	Stato civile della restaurazione	16068	Catania	an_ua68891	
1821	Morti	Stato civile della restaurazione	16450	Catania	an_ua19993187	
1821	Nati	Stato civile della restaurazione	15921	Catania	an_ua68979	wlGlVYY
1821	Nati	Stato civile della restaurazione	16325	Catania	an_ua19993233	
1821	Nati, esposti	Stato civile della restaurazione	15968	Catania	an_ua68937	
1822	Diversi	Stato civile della restaurazione	16112	Catania	an_ua68778	
1822	Matrimoni	Stato civile della restaurazione	16030	Catania	an_ua68850	
1822	Matrimoni	Stato civile della restaurazione	16408	Catania	an_ua19993141	
1822	Morti	Stato civile della restaurazione	16069	Catania	an_ua68892	
1822	Morti	Stato civile della restaurazione	16451	Catania	an_ua19993188	
1822	Nati	Stato civile della restaurazione	15922	Catania	an_ua68980	LoYENeX
1822	Nati	Stato civile della restaurazione	16326	Catania	an_ua19993234	
1822	Nati, esposti	Stato civile della restaurazione	15969	Catania	an_ua68938	
1823	Diversi	Stato civile della restaurazione	16113	Catania	an_ua68779	
1823	Matrimoni	Stato civile della restaurazione	16031	Catania	an_ua68851	
1823	Matrimoni	Stato civile della restaurazione	16409	Catania	an_ua19993142	
1823	Morti	Stato civile della restaurazione	16070	Catania	an_ua68893	
1823	Morti	Stato civile della restaurazione	16452	Catania	an_ua19993189	
1823	Nati	Stato civile della restaurazione	15923	Catania	an_ua68981	
1823	Nati	Stato civile della restaurazione	16327	Catania	an_ua19993235	
1823	Nati, esposti	Stato civile della restaurazione	15970	Catania	an_ua68939	
1824	Matrimoni	Stato civile della restaurazione	16032	Catania	an_ua68852	
1824	Matrimoni	Stato civile della restaurazione	16410	Catania	an_ua19993143	
1824	Morti	Stato civile della restaurazione	16071	Catania	an_ua68894	
1824	Morti	Stato civile della restaurazione	16453	Catania	an_ua19993190	
1824	Nati	Stato civile della restaurazione	15924	Catania	an_ua68982	
1824	Nati	Stato civile della restaurazione	16328	Catania	an_ua19993236	
1824	Nati, esposti	Stato civile della restaurazione	15971	Catania	an_ua68940	
1825	Matrimoni	Stato civile della restaurazione	16033	Catania	an_ua68853	
1825	Matrimoni	Stato civile della restaurazione	16411	Catania	an_ua19993144	
1825	Morti	Stato civile della restaurazione	16072	Catania	an_ua68895	
1825	Morti	Stato civile della restaurazione	16454	Catania	an_ua19993191	
