instrument	where	what	how	caution
The annual Tavola	Scilla and Piedimonte, every civil year that has one	An alphabetical index bound at the end of a year's register. Scilla's names BOTH SPOUSES and ALL FOUR PARENTS -- and marks a dead parent with «fu». A death Tavola is the same form, and for a married person the parents column carries the SPOUSE instead.	Read the A section and a whole year is one crop. Three brothers for Filippo Arena, a death bracketed to ten years by a single «fu», and then that death exact to the hour, all came out of twenty-seven Tavole read this way.	THE KEY CHANGES BETWEEN ADJACENT YEARS. 1818 alphabetises by the groom's GIVEN name, 1819 by surname. Some years have no A section at all. And the «Num. d'ordine» is the INDEX ROW, not the act number -- carry the DATE across and walk the register, which runs in date order.
The act-head montage	Unindexed marriage volumes, napoleonic and restauration	In these registers an opening puts the END of one act on the left page and the HEAD of the next on the right -- number, date, groom, age, trade, father. The napoleonic form adds the bride.	Crop that band (pct:52,18,46,26 at width 900), tile ten to a sheet, and a forty-act volume is four images instead of forty openings. 1815, 1816 and 1817 fell in an afternoon, against the 2,191 processetti thumbnails that had been budgeted.	It shows the GROOM. A woman's marriage still needs the Tavola or a second band. And find the volume's END -- these close on the sindaco's statement -- before writing any negative.
The marriage processetti	Scilla 1810-1865, Piedimonte 1841-1860, Briatico, Zambrone	The papers filed to get a licence: the BIRTH EXTRACTS of both spouses and the DEATH ACTS of dead parents, copied out of the PARISH books -- which begin decades before the state did.	Find the wrapper: «<year> | <folios> | N.o <bundle> | <comune> | Documenti per il Matrimonio di <A> e <B> | fogli <n>». Scan at five-image spacing, then step two. Scilla's 1815 bundle 29 gave two exact birth dates, corrected a given name, and reached GENERATION NINE.	Read it EVEN WHEN THE ACT IS ALREADY IN HAND. At Scilla the register beat the bundle and the bundle then beat the register: it corrected «Setteria» to LITTERIA and settled a five-year age dispute the act could not.
The marginal annotation	Italian-era birth acts, both countries	A column beside the act, filled in decades later, recording the subject's marriage: «unita in matrimonio con X di Y con atto del <date> iscritto in <comune>».	It identifies by SPOUSE, which is usually the one thing already known. One crop eliminated the only Maria Nicotra born at Piedimonte in 1875 -- she married a Nicito there in 1891.	A PRESENT annotation is free evidence; a BLANK one is silence. Giuseppe Arena demonstrably married at Scilla in 1885 and his box is empty. And the box moves: left column in 1852-53, right in 1860.
The register index, at s_size=500	Antenati, any comune	`?localita=X&s_size=500` returns a comune's whole holding in one page load, fondo by fondo.	It is how Piedimonte turned out to have 457 registers where this archive had listed 103, and how nine volumes of Riveli di anime e di terre from 1714 were found at all.	500 IS THE CEILING and above it the request times out, so a listing can silently be a SAMPLE. The true total is in the result facets as «Archivio di Stato di … (N)». Compare the two. And `?citta=` returns zero in silence.
The container fetch, from inside the origin	Antenati	The ark-to-container step is what the image server needs, and it normally costs a rate-limited page load apiece.	Fetched in page context from a tab already on the origin, six at a time and five seconds apart: twenty-one containers in one sitting with no 403, where twenty-one navigations would have locked the session out repeatedly.	IMAGES ARE NEVER THROTTLED, HTML ALWAYS IS. When the limiter bites, switch to image work -- two whole unindexed volumes were read while it was down.
The Riveli di anime e di terre	Sicily, Deputazione del Regno -- Piedimonte has 1714 and 1747-1752	A household tax return sworn by the head of the house: the house, the head, his wife, his children. A century before civil registration in Sicily.	The 1747-48 volume opens with fourteen images of alphabetical index, letter tabs cut into the fore-edge. Folio = image - 16 in that container.	THE INDEX IS BY GIVEN NAME, so there is no shortcut to one surname. AND AT PIEDIMONTE ONLY THE HEAD'S AGE IS GIVEN -- the wife and children are named and not aged. It gives the household and the house, not birth years.
The Queensland BDM download endpoint	Queensland, births 1829-1926, marriages to 1951, deaths to 1996	`downloadSearch` returns a whole result set as CSV in one GET, with the MOTHER and PARENT columns.	Sweeping NICOTRA and three spellings of CASSANETI showed that «Cassaneti» appears exactly ONCE in the entire Queensland index -- on the registration this archive took the spelling from.	IT REFUSES CURL WITH A 403 and works from inside the site's own origin. `fathersname` and `mothersname` RANK, they do not FILTER. And the windows CLOSE -- a 1949 migration is outside the birth window entirely.
NAA RecordSearch item titles	Australia, alien registration after 1945	The item TITLE carries the particulars, so a NameSearch settles a question even when nothing is digitised: «Mazza [nee Nicotra], Maria -- arrived Sydney 20 April 1962».	One line gave a maiden name from an Australian government record and an arrival the family tree did not have, for a woman fourteen years of Italian birth indexes had failed to find.	Run it on the MARRIED surname AND the maiden name before sweeping any Italian comune. A birthplace stated by the person outranks one inferred from her husband's town.
A source that carries its own arithmetic	Any ledger, foliated register or index with running totals	A double-entry book closes each page with a total and opens the next with a «riporto». So the document states, in its own hand, whether your reading of it is complete.	The 1714 Piedimonte riveli index is seventeen images. Twelve were read and two pages looked like blank versos at thumbnail size. p6 closes at 1468 and p8 opens at 2556 -- eleven households looked straight past, and a negative eleven households short would have read exactly like a complete one.	IT IS THE ONLY CHECK THAT COMES FROM INSIDE THE DOCUMENT rather than from a second source, and it is the reason to fetch the thing you are about to skip. It works on act numbers and folio numbers too: a jump in either says a frame is missing or a page was not photographed. It does NOT tell you the reading was CORRECT, only that it was whole.
The Tavola that stops early, or is blank	Any comune -- reported from Arienzo, Caserta, by the Falco archive	A Tavola can be present, properly headed, ruled and filled in -- AND STOP AT C. Arienzo births 1832 runs Anzivino, Andrea, Arrigale, Ambrosio, Bernardo, Balletta, Crisci, Cimmino, and the volume ends. The 1834 death index there is a single leaf covering A to C, marked END. And Arienzo births 1836 has a printed heading, ruled columns and EVERY CELL EMPTY.	«A search that reaches the C page and finds nothing has not reached F.» This archive's own Tavola sweeps survive it for one reason worth stating: where a year appeared to have NO A SECTION, the entry NUMBERING was checked -- a Tavola opening at B with entry 1 has no A entries, where a Tavola opening at B with entry 12 is missing a page.	CHECK THE LAST LETTER THE TAVOLA ACTUALLY REACHES, not just its alphabetical key. And a BLANK Tavola is nastier than an absent one, because it files itself in a note as «not read» and somebody opens it again. Reported by the Falco archive, 21 September 2026.
The declarant is not the father	Italian birth registers, both countries	A birth act opens on a right page naming whoever PRESENTED the child, and the PARENTS are named at the top of the next left page. In some years the presenter is the father; in others act after act is presented by the LEVATRICE, the midwife.	A band sweep of the declarant line works perfectly in a year of fathers and SILENTLY DROPS EVERY FATHER WHOSE CHILD THE MIDWIFE CARRIED. It cost the Falco archive a full re-sweep of a 128-image volume.	IF YOU ARE BANDING A BIRTH VOLUME, BAND THE PARENTS LINE, NOT THE DECLARANT LINE. The failure produces a clean, complete-looking, confident negative -- which is the only kind that survives review. This archive's own montage sweeps are of MARRIAGE volumes, where the band carries the groom and his father, so they are not exposed; its birth work has been index-first. Reported by the Falco archive, 21 September 2026.
The «vivente» field in a publication certificate	Italian-era «Matrimoni, allegati» -- Piedimonte 1866+, and any comune filming the allegati separately from the acts	The printed «CERTIFICATO di seguita pubblicazione di matrimonio senza opposizione» has a blank for each spouse reading «figlio del ____ ... e della ____». The clerk fills it with VIVENTE or with FU. It is a POSITIVE statement about all four parents, with a trade and a residence beside each, on a dated form -- not the absence of a marker but the marker itself.	Find the fascicolo by its wrapper: «Fasc.o N.o 15» is printed at the head of the divider page, so one banded crop of the top-right corners across a dozen images locates any bundle. At Piedimonte in 1871 the bundles run about three images apart. The certificate is on the RIGHT page of the opening after the divider; the divider's verso is blank.	THE ALLEGATI ARE NOT THE PROCESSETTI AND WILL NOT ANSWER THE SAME QUESTIONS. The Bourbon-era «Matrimoni, processetti» carry the spouses' BIRTH EXTRACTS and their dead parents' DEATH ACTS. The Italian-era «Matrimoni, allegati» of 1871 at Piedimonte carry the publication certificate and little else -- no birth extract, no death act. Reasoning from one to the other plans a search the volume cannot answer. What the allegati have that the processetti do not is this vivente/fu field.
