year	tipologia	fondo	segnatura	holder	ark	container
1616	Riveli di beni e di anime	Tribunale del Real Patrimonio	1262, vol. 1	Palermo	an_ua37944845	
1625	Riveli di beni e di anime	Tribunale del Real Patrimonio	1263, vol. 1	Palermo	an_ua37945085	
1636	Riveli di beni e di anime	Tribunale del Real Patrimonio	1263, vol. 1	Palermo	an_ua37945207	
1652	Riveli di beni e di anime	Tribunale del Real Patrimonio	1264, vol. 1	Palermo	an_ua37945543	
1676-1678	Riveli di beni e di anime	Tribunale del Real Patrimonio	1263, vol. 1	Palermo	an_ua37945566	
1676-1678	Riveli di beni e di anime	Tribunale del Real Patrimonio	1263, vol. 1	Palermo	an_ua37945567	
1714	Riveli di anime e di terre	Deputazione del Regno	1621, vol. 1	Palermo	an_ua37938414	
1714	Riveli di anime e di terre	Deputazione del Regno	1621, vol. 1	Palermo	an_ua37938415	
1747	Riveli di anime e di terre	Deputazione del Regno	3669, vol. 1 (allegati ai riveli)	Palermo	an_ua37940903	
1747	Riveli di anime e di terre	Deputazione del Regno	3669, vol. 1 (allegati ai riveli)	Palermo	an_ua37940904	
1747	Riveli di anime e di terre	Deputazione del Regno	3670, vol. 2 (allegati ai riveli)	Palermo	an_ua37940905	
1747	Riveli di anime e di terre	Deputazione del Regno	3670, vol. 2 (allegati ai riveli)	Palermo	an_ua37940906	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3671, vol. 3	Palermo	an_ua37939048	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3671, vol. 3	Palermo	an_ua37939049	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3672, vol. 4	Palermo	an_ua37939050	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3673, vol. 5	Palermo	an_ua37939051	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3674, vol. 6	Palermo	an_ua37939052	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3674, vol. 6	Palermo	an_ua37939053	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3675, vol. 7	Palermo	an_ua37939054	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3679, vol. 11	Palermo	an_ua37939055	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3680, vol. 12	Palermo	an_ua37939056	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3681, vol. 13	Palermo	an_ua37939057	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3681, vol. 13	Palermo	an_ua37939058	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3682, vol. 14	Palermo	an_ua37939059	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3683, vol. 15	Palermo	an_ua37939060	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3683, vol. 15	Palermo	an_ua37939061	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3684, vol. 16	Palermo	an_ua37939062	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3685, vol. 17	Palermo	an_ua37939063	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3686, vol. 18	Palermo	an_ua37939064	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3686, vol. 18	Palermo	an_ua37939065	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3687, vol. 19	Palermo	an_ua37939066	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3689, vol. 21	Palermo	an_ua37939067	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3690, vol. 22	Palermo	an_ua37939068	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3692, vol. 24	Palermo	an_ua37939069	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3692, vol. 24	Palermo	an_ua37939070	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3693, vol. 25	Palermo	an_ua37939071	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3694, vol. 26	Palermo	an_ua37939072	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3695, vol. 27	Palermo	an_ua37939073	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3695, vol. 27	Palermo	an_ua37939074	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3695, vol. 27	Palermo	an_ua37939075	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3696, vol. 28 (allegati ai riveli)	Palermo	an_ua37941366	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3696, vol. 28 (allegati ai riveli)	Palermo	an_ua37941367	
1747-1751	Riveli di anime e di terre	Deputazione del Regno	3697, vol. 29 (allegati ai riveli)	Palermo	an_ua37941368	
1747-1752	Riveli di anime e di terre	Deputazione del Regno	3677, vol. 9	Palermo	an_ua37939089	
1747-1752	Riveli di anime e di terre	Deputazione del Regno	3678, vol. 10	Palermo	an_ua37939090	
1747-1752	Riveli di anime e di terre	Deputazione del Regno	3678, vol. 10	Palermo	an_ua37939091	
1820	Diversi	Stato civile della restaurazione	16926	Catania	an_ua70068	
1820	Matrimoni	Stato civile della restaurazione	16841	Catania	an_ua70147	
1820	Morti	Stato civile della restaurazione	16883	Catania	an_ua70194	
1820	Nati	Stato civile della restaurazione	16754	Catania	an_ua70290	
