serie	tipologia	year	ark	container
72189	Nati	1820	an_ua72361	
72189	Nati	1821	an_ua72362	
72189	Nati	1822	an_ua72363	
72189	Nati	1823	an_ua72364	
72189	Nati	1824	an_ua72365	
72189	Nati	1825	an_ua72366	
72189	Nati	1826	an_ua72367	
72189	Nati	1827	an_ua72368	
72189	Nati	1828	an_ua72369	
72189	Nati	1829	an_ua72370	
72189	Nati	1830	an_ua72371	
72189	Nati	1831	an_ua72372	
72189	Nati	1832	an_ua72373	
72189	Nati	1833	an_ua72374	
72189	Nati	1834	an_ua72375	
72189	Nati	1835	an_ua72376	
72189	Nati	1836	an_ua72377	
72189	Nati	1837	an_ua72378	
72189	Nati	1838	an_ua72379	
72189	Nati	1839	an_ua72380	
72189	Nati	1840	an_ua72381	
72189	Nati	1841	an_ua72382	
72189	Nati	1842	an_ua72383	
72189	Nati	1842s	an_ua72384	
72189	Nati	1843	an_ua72385	
72189	Nati	1844	an_ua72386	LoYQbR7
72189	Nati	1845	an_ua72387	w99Qroa
72189	Nati	1846	an_ua72388	0A4RdKW
72189	Nati	1847	an_ua72389	5xeJbA3
72189	Nati	1848	an_ua72390	5GEz36r
72189	Nati	1849	an_ua72391	
72189	Nati	1850	an_ua72392	
72189	Nati	1850s	an_ua72393	
72189	Nati	1851	an_ua72394	
72189	Nati	1852	an_ua72395	
72189	Nati	1853	an_ua72396	
72189	Nati	1854	an_ua72397	
72189	Nati	1855	an_ua72398	
72189	Nati	1856	an_ua72399	
72189	Nati	1857	an_ua72400	
72189	Nati	1858	an_ua72401	
72189	Nati	1859s	an_ua72402	
72189	Nati	1859	an_ua72403	
72189	Nati	1860	an_ua72404	
72189	Nati	1860s	an_ua72405	
72189	Nati	1861	an_ua72406	
72189	Nati	1861s	an_ua72407	
72189	Nati	1862	an_ua72408	
72189	Nati	1863s	an_ua72409	
72189	Nati	1863	an_ua72410	
83386	Matrimoni	1870	an_ua83391	
83386	Matrimoni	1871	an_ua83392	0A4r3KW
83386	Matrimoni	1872	an_ua83393	
