serie	tipologia	year	ark	container
16594786	Matrimoni	1866	an_ua16594967	
16594786	Matrimoni	1867	an_ua16594969	
16594786	Matrimoni	1868	an_ua16594971	
16594786	Matrimoni	1869	an_ua16594973	
16594786	Matrimoni	1870	an_ua16594975	
16594786	Matrimoni	1871	an_ua16594977	
16594786	Matrimoni	1872	an_ua16594979	
16594786	Matrimoni	1873	an_ua16594981	
16594786	Matrimoni	1874	an_ua16594983	
16594786	Matrimoni	1875	an_ua16594985	
16594786	Matrimoni	1876	an_ua16594987	
16594786	Matrimoni	1877	an_ua16594989	
16594786	Matrimoni	1878	an_ua16594991	
16594786	Matrimoni	1879	an_ua16594993	
16594786	Matrimoni	1880	an_ua16594995	
16594786	Matrimoni	1881	an_ua16594997	
16594786	Matrimoni	1882	an_ua16594999	
16594786	Matrimoni	1883	an_ua16595001	
16594786	Matrimoni	1884	an_ua16595002	
16594786	Matrimoni	1885	an_ua16595004	5Yb6Wr3
16594786	Matrimoni	1886	an_ua16595006	5VM1dJJ
16594786	Matrimoni	1887	an_ua16595008	LPM2Vv7
16594786	Matrimoni	1888	an_ua16595010	5g9oDbN
16594786	Matrimoni	1889	an_ua16595012	0n82DN4
16594786	Matrimoni	1890	an_ua16595014	w9WV7KQ
16594786	Matrimoni	1891	an_ua16595016	LymeDPX
16594786	Matrimoni	1892	an_ua16595018	5vJODal
16594786	Matrimoni	1893	an_ua16595020	Lq2qDlD
16594786	Matrimoni	1894	an_ua16595022	wQqxOK9
16594786	Matrimoni	1895	an_ua16595024	
16594786	Matrimoni	1896	an_ua16595026	
16594786	Matrimoni	1897	an_ua16595028	
16594786	Matrimoni	1898	an_ua16595030	
16594786	Matrimoni	1899	an_ua16595032	
16594786	Matrimoni	1900	an_ua16595034	
16594786	Matrimoni	1901	an_ua16595035	
16594786	Matrimoni	1902	an_ua16595037	
16594786	Matrimoni	1903	an_ua16595039	
16594786	Matrimoni	1904	an_ua16595041	
16594786	Matrimoni	1905	an_ua16595043	
16594786	Matrimoni	1906	an_ua16595045	
16594786	Matrimoni	1907	an_ua16595047	
16594786	Matrimoni	1908	an_ua16595049	
16594786	Matrimoni	1909	an_ua16595051	
16594786	Matrimoni	1910	an_ua16595053	
16594786	Matrimoni	1911	an_ua16594961	
16594786	Matrimoni	1912	an_ua16594963	
16594786	Matrimoni	1913	an_ua16594965	
