serie	tipologia	year	ark
restaurazione	Nati	1816	an_ua2002801
restaurazione	Nati	1817	an_ua2002803
restaurazione	Nati	1818	an_ua2002805
restaurazione	Nati	1819	an_ua2002808
restaurazione	Nati	1820	an_ua2002810
restaurazione	Nati	1821	an_ua2002812
restaurazione	Nati	1822	an_ua2002816
restaurazione	Nati	1823	an_ua2002818
restaurazione	Nati	1824	an_ua2002820
restaurazione	Nati	1824	an_ua2002823
restaurazione	Nati	1825	an_ua2002826
restaurazione	Nati	1826	an_ua2002828
restaurazione	Nati	1827	an_ua2002831
restaurazione	Nati	1828	an_ua2002834
restaurazione	Nati	1829	an_ua2002837
restaurazione	Nati	1830	an_ua2002840
restaurazione	Nati	1831	an_ua2002841
restaurazione	Nati	1832	an_ua2002844
restaurazione	Nati	1833	an_ua2002847
restaurazione	Nati	1834	an_ua2002850
restaurazione	Nati	1835	an_ua2002853
restaurazione	Nati	1836	an_ua2002856
restaurazione	Nati	1837	an_ua2002858
restaurazione	Nati	1838	an_ua2002860
restaurazione	Nati	1839	an_ua2002863
restaurazione	Nati	1840	an_ua2002866
restaurazione	Nati	1841	an_ua2002868
restaurazione	Nati	1842	an_ua2002871
restaurazione	Nati	1843	an_ua2002874
restaurazione	Nati	1843	an_ua2002877
restaurazione	Nati	1844	an_ua2002878
restaurazione	Nati	1845	an_ua2002883
restaurazione	Nati	1846	an_ua2002885
restaurazione	Nati	1847	an_ua2002888
restaurazione	Nati	1848	an_ua2002890
restaurazione	Nati	1849	an_ua2002893
restaurazione	Nati	1849	an_ua2002896
restaurazione	Nati	1850	an_ua2002898
restaurazione	Nati	1851	an_ua2002901
restaurazione	Nati	1852	an_ua2002904
restaurazione	Nati	1852	an_ua2002907
restaurazione	Nati	1853	an_ua2002909
restaurazione	Nati	1854	an_ua2002911
restaurazione	Nati	1855	an_ua2002914
restaurazione	Nati	1856	an_ua2002917
restaurazione	Nati	1856	an_ua2002920
restaurazione	Nati	1857	an_ua2002922
restaurazione	Nati	1858	an_ua2002925
restaurazione	Nati	1859	an_ua2002928
restaurazione	Nati	1860	an_ua2002931
restaurazione	Nati	1861	an_ua2002933
restaurazione	Nati	1862	an_ua2002935
restaurazione	Nati	1863	an_ua2002937
restaurazione	Nati	1864	an_ua2002941
restaurazione	Nati	1865	an_ua2002943
restaurazione	Matrimoni	1816	an_ua2002512
restaurazione	Matrimoni	1817	an_ua2002514
restaurazione	Matrimoni	1818	an_ua2002516
restaurazione	Matrimoni	1819	an_ua2002520
restaurazione	Matrimoni	1820	an_ua2002523
restaurazione	Matrimoni	1821	an_ua2002526
restaurazione	Matrimoni	1822	an_ua2002528
restaurazione	Matrimoni	1823	an_ua2002531
restaurazione	Matrimoni	1824	an_ua2002534
restaurazione	Matrimoni	1825	an_ua2002536
restaurazione	Matrimoni	1826	an_ua2002539
restaurazione	Matrimoni	1827	an_ua2002542
restaurazione	Matrimoni	1828	an_ua2002545
restaurazione	Matrimoni	1829	an_ua2002548
restaurazione	Matrimoni	1830	an_ua2002551
restaurazione	Matrimoni	1831	an_ua2002554
restaurazione	Matrimoni	1832	an_ua2002556
restaurazione	Matrimoni	1833	an_ua2002559
restaurazione	Matrimoni	1834	an_ua2002561
restaurazione	Matrimoni	1835	an_ua2002564
restaurazione	Matrimoni	1836	an_ua2002567
restaurazione	Matrimoni	1837	an_ua2002570
restaurazione	Matrimoni	1838	an_ua2002572
restaurazione	Matrimoni	1839	an_ua2002574
restaurazione	Matrimoni	1840	an_ua2002577
restaurazione	Matrimoni	1841	an_ua2002580
restaurazione	Matrimoni	1842	an_ua2002583
restaurazione	Matrimoni	1843	an_ua2002586
restaurazione	Matrimoni	1844	an_ua2002588
restaurazione	Matrimoni	1845	an_ua2002591
restaurazione	Matrimoni	1845	an_ua2002594
restaurazione	Matrimoni	1846	an_ua2002596
restaurazione	Matrimoni	1846	an_ua2002598
restaurazione	Matrimoni	1846	an_ua2002601
restaurazione	Matrimoni	1847	an_ua2002604
restaurazione	Matrimoni	1848	an_ua2002607
restaurazione	Matrimoni	1849	an_ua2002610
restaurazione	Matrimoni	1850	an_ua2002613
restaurazione	Matrimoni	1851	an_ua2002614
restaurazione	Matrimoni	1852	an_ua2002617
restaurazione	Matrimoni	1853	an_ua2002620
restaurazione	Matrimoni	1853	an_ua2002623
restaurazione	Matrimoni	1854	an_ua2002626
restaurazione	Matrimoni	1855	an_ua2002628
restaurazione	Matrimoni	1856	an_ua2002631
restaurazione	Matrimoni	1857	an_ua2002634
restaurazione	Matrimoni	1858	an_ua2002637
restaurazione	Matrimoni	1859	an_ua2002639
restaurazione	Matrimoni	1860	an_ua2002642
restaurazione	Matrimoni	1861	an_ua2002644
restaurazione	Matrimoni	1862	an_ua2002647
restaurazione	Matrimoni	1863	an_ua2002650
restaurazione	Matrimoni	1864	an_ua2002653
restaurazione	Matrimoni	1865	an_ua2002656
