fondo	tipologia	years	ark	container	images	note
napoleonico	Matrimoni	1811-1858	an_ua37928578	wWyoZJ2	253	THE MARRIAGE BOOK. Forty-seven years in ONE volume, about five images a year. Zambrone is in the DISTRETTO DI MONTELEONE and the circondario of TROPEA, not Briatico. STRUCTURE, worked out by sampling: each year runs a printed TITLE PAGE, then its acts one to an opening, then an ANNUAL TAVOLA ruled for «Nomi e Cognomi degli Sposi | Patria | NOMI E COGNOMI DE' GENITORI | Giorno in cui si celebro il Matrimonio | Osservazioni» -- the same four-parents-per-couple index as Briatico's. CALIBRATION: image 10 = 1822 act 5; image 13 = TAVOLA 1822 (5 marriages); image 19 = title page 1823; images 21-26 = the acts of 1824; image 27 = TAVOLA 1824 (3 marriages); image 28 = title page 1825; image 30 = 1825 act 2; image 50 = 1830 act 1. So a whole year costs ONE IMAGE once the Tavola is located, and the first fifty images cover 1811 to 1830 entire.
napoleonico	Matrimoni	1811-1841	an_ua37919415	LqXXx7D	232	NOT ZAMBRONE — the manifest label says DAFFINA. The Briatico and Zambrone series both return several arks per year that are different comuni; read the label before trusting the search row.
napoleonico	Matrimoni, indice	1812	an_ua37928982	0MNJXOl	6	An index for a single year, 1812.
napoleonico	Nati	1811-1839	an_ua37932933		—	The birth run, one volume. Already on the work list.
napoleonico	Nati	1811-1833	an_ua37922424		—	A second birth volume over an overlapping range — check the comune label before use.
napoleonico	Morti	1811-1839	an_ua37932358		—	THE DEATH RUN. Note the archive's older finding that Zambrone's Morti are MISSING 1813-1821; this volume's range claims otherwise and should be opened to see which is right.
napoleonico	Morti	1811-1840	an_ua37921999		—	A second death volume over an overlapping range — check the comune label.
restaurazione	Matrimoni, processetti	1826	an_ua37929549	LzzNj19	6	READ. Two notificazioni, both May 1826 — Concetto Gagga x Domenica Piatto, and one more. NO VENTRICE.
restaurazione	Matrimoni, processetti	1826-1837	an_ua37920161	5GX4X96	116	NOT ZAMBRONE — the label says DAFFINA.
restaurazione	Diversi	1826-1844	an_ua37928487		—	Unread.
